%TITLE%
 OUN   260401/0000 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
  200.00,  12090.00,    -62.70,    -66.90,    280.00,     44.00
  191.00,  12370.77,    -65.50,    -69.30,    275.00,     47.01
  176.00,  12860.22,    -69.89,    -74.74,    280.00,     44.00
  174.00,  12928.61,    -70.50,    -75.50,    280.00,     40.00
  172.00,  12997.55,    -66.90,    -72.90,  -9999.00,  -9999.00
  169.00,  13103.26,    -67.50,    -73.50,    270.00,     31.99
  161.00,  13396.85,    -63.70,    -77.70,  -9999.00,  -9999.00
  159.00,  13473.22,    -63.70,    -81.69,    255.00,     39.01
  158.00,  13511.77,    -63.70,    -83.70,  -9999.00,  -9999.00
  155.00,  13629.00,    -63.30,    -83.30,  -9999.00,  -9999.00
  150.00,  13830.00,    -62.70,    -82.70,    260.00,     44.00
  148.00,  13912.70,    -62.30,    -83.30,  -9999.00,  -9999.00
  143.00,  14124.05,    -63.50,    -83.50,  -9999.00,  -9999.00
  134.00,  14522.67,    -63.50,    -86.50,  -9999.00,  -9999.00
  131.00,  14662.71,    -62.90,    -86.57,    275.00,     54.00
  127.00,  14854.50,    -62.08,    -86.66,    280.00,     50.99
  120.00,  15205.14,    -60.57,    -86.83,    270.00,     46.00
  117.00,  15361.73,    -59.90,    -86.90,  -9999.00,  -9999.00
  108.00,  15855.37,    -62.35,    -87.82,    290.00,     31.00
  100.00,  16330.00,    -64.70,    -88.70,    270.00,     31.00
   92.00,  16838.01,    -66.85,    -89.06,    260.00,     58.00
   91.10,  16897.90,    -67.10,    -89.10,    265.00,     58.99
   90.00,  16972.20,    -66.75,    -89.01,    265.00,     58.99
   86.00,  17250.26,    -65.44,    -88.68,    285.00,     46.00
   82.00,  17541.55,    -64.07,    -88.34,    275.00,     33.00
   80.00,  17692.58,    -63.35,    -88.16,    265.00,     31.00
   79.30,  17746.33,    -63.10,    -88.10,  -9999.00,  -9999.00
   73.00,  18253.10,    -65.49,    -88.50,    295.00,     35.00
   70.00,  18510.00,    -66.70,    -88.70,    290.00,     29.00
   68.00,  18684.35,    -67.90,    -89.90,    280.00,     23.00
   65.00,  18955.98,    -66.97,    -89.55,    255.00,     23.00
