lat,lon,rank_abi,rank_aoi,rqi
35.05858,-99.18419,3,3,0.8
35.11666,-99.20887,5,4,0.8
35.05857,-99.13144,4,5,0.8
35.07811,-99.06078,1,1,1.0
35.07303,-99.02596,4,2,0.8
35.11657,-99.06067,3,3,1.0
35.07306,-99.00828,2,4,0.8
35.11661,-99.09602,5,5,1.0
35.07887,-98.81439,1,1,1.0
35.0511,-98.78963,2,2,1.0
35.07299,-98.79661,5,3,0.8
35.05844,-98.79686,3,4,0.8
35.02932,-98.88485,4,5,0.8
35.09474,-98.67394,1,1,1.0
35.09463,-98.70882,3,2,0.8
35.09469,-98.69137,2,3,1.0
35.073,-98.69139,4,4,0.8
35.14634,-98.72326,5,5,1.0
35.07263,-98.53303,1,1,1.0
35.08711,-98.53293,3,2,1.0
35.08711,-98.55925,2,3,1.0
35.07268,-98.5594,4,4,0.8
35.08694,-98.48007,5,5,0.8
35.04359,-98.35694,2,1,1.0
35.09267,-98.30215,4,2,1.0
35.04364,-98.40956,3,3,1.0
35.05812,-98.40956,1,4,1.0
35.05808,-98.35695,5,5,0.8
35.13643,-98.12646,1,1,0.8
35.11724,-98.26721,2,2,0.8
35.12208,-98.25358,3,3,0.2
35.05101,-98.14596,4,4,0.2
35.11299,-98.25114,5,5,0.2
35.08697,-98.02272,2,1,0.8
35.13123,-97.96137,1,2,1.0
35.10152,-98.02271,4,3,0.8
35.11673,-98.05473,5,4,0.8
35.14553,-98.02128,3,5,0.8
35.16023,-97.82921,2,1,1.0
35.12976,-97.8349,1,2,0.8
35.11668,-97.83809,3,3,0.8
35.07318,-97.7939,5,4,0.8
35.12324,-97.88178,4,5,0.2
35.07321,-97.71386,1,1,0.2
35.14514,-96.96688,1,1,0.8
35.07276,-96.92057,3,1,0.2
35.14514,-96.93024,1,2,0.2
35.10438,-96.92194,2,3,0.2
35.15605,-96.93196,4,4,0.2
35.04337,-96.67916,1,1,0.8
35.09108,-96.67872,2,2,0.2
35.08424,-96.66993,3,3,0.2
35.06024,-96.75787,4,4,0.2
35.0868,-96.48723,2,1,0.2
35.14523,-96.57443,1,2,0.2
35.0868,-96.52738,3,3,0.2
35.14527,-96.60714,4,4,0.2
35.13037,-96.35326,3,1,0.8
35.11585,-96.35328,2,2,0.8
35.14481,-96.40072,1,3,0.8
35.10559,-96.35327,5,4,0.2
35.08686,-96.33974,4,5,0.2
35.15941,-96.24772,1,1,0.8
35.16859,-96.24774,2,2,0.2
35.04848,-96.2476,3,3,0.2
34.94945,-103.75987,1,1,0.8
34.91185,-103.76023,2,2,0.2
35.04237,-103.61315,1,1,0.8
35.04165,-103.54379,2,2,0.8
35.04176,-103.59001,3,3,0.2
35.04181,-103.55885,4,4,0.2
35.03177,-103.54271,5,5,0.2
34.95544,-103.3663,1,1,0.8
34.97081,-103.3666,2,2,0.8
34.98524,-103.35953,3,3,0.8
34.95329,-103.35357,4,4,0.2
35.02669,-103.10196,1,1,0.8
35.04234,-103.10205,3,2,0.2
35.05148,-103.10205,4,3,0.2
34.95311,-103.10122,2,4,0.8
35.03265,-102.7462,1,1,0.8
35.03238,-102.78137,2,2,0.8
35.03278,-102.7283,3,3,0.8
35.03224,-102.79913,4,4,0.8
35.03292,-102.71094,5,5,0.8
35.04289,-102.65777,1,1,0.8
35.05339,-102.65762,2,2,0.8
35.03327,-102.65791,3,3,0.8
35.06532,-102.65744,4,4,0.8
35.05648,-102.40205,1,1,0.8
35.07117,-102.4019,2,2,0.8
35.0417,-102.40223,4,3,0.8
35.02713,-102.40239,3,4,0.8
35.09354,-102.40162,5,5,0.8
35.12141,-101.76867,1,1,0.8
35.12076,-101.79525,2,2,0.8
35.12032,-101.80682,3,3,0.8
35.13511,-101.74465,4,4,0.8
35.12029,-101.81938,5,5,0.8
35.1339,-101.42596,1,1,0.8
35.13916,-101.44398,2,2,0.8
35.14693,-101.47076,3,3,0.8
35.14871,-101.36388,4,4,0.8
35.15212,-101.48865,5,5,0.8
35.08202,-101.28408,1,1,0.8
35.07555,-101.26728,2,2,0.8
35.09064,-101.30652,3,3,0.8
35.07148,-101.25672,4,4,0.8
35.06148,-101.24399,5,5,0.8
35.18264,-100.90767,1,1,1.0
35.13039,-100.89513,2,2,0.8
35.16831,-100.90336,3,3,0.8
35.18335,-100.94743,4,4,0.8
35.18371,-100.96441,5,5,0.8
35.18774,-100.81182,1,1,0.8
35.18038,-100.82653,2,2,0.8
35.19401,-100.80361,3,3,0.8
35.20477,-100.78656,4,4,0.8
35.19746,-100.60971,1,1,0.8
35.12334,-100.23765,1,1,0.8
35.10033,-100.23782,2,2,0.8
35.16248,-100.25503,3,3,0.2
35.22664,-100.10918,1,1,0.8
35.22665,-100.13035,2,2,0.8
35.18949,-99.94147,2,1,0.8
35.18972,-99.95917,1,2,0.8
35.16045,-99.90578,3,3,0.8
35.2046,-99.92968,4,4,0.8
35.17495,-99.87101,5,5,0.8
35.18844,-99.74768,1,1,1.0
35.20453,-99.80466,4,2,1.0
35.16052,-99.85325,2,3,1.0
35.20449,-99.75295,5,4,0.8
35.16058,-99.81795,3,5,0.8
35.17503,-99.6409,1,1,1.0
35.17512,-99.62432,2,2,1.0
35.17498,-99.65952,4,3,1.0
35.16327,-99.62427,3,4,0.8
35.17495,-99.67709,5,5,1.0
35.18957,-99.44848,1,1,1.0
35.17508,-99.3956,3,2,1.0
35.16029,-99.36017,5,3,1.0
35.17496,-99.43086,2,4,1.0
35.18956,-99.43089,4,5,0.8
35.2045,-99.30755,2,1,1.0
35.16032,-99.25451,1,2,1.0
35.16037,-99.30748,3,3,1.0
35.20451,-99.29389,4,4,0.8
35.16039,-99.28976,5,5,0.8
35.20433,-99.13515,1,1,1.0
35.18934,-99.13105,3,2,1.0
35.16035,-99.11352,2,3,1.0
35.20437,-99.09967,4,4,1.0
35.20435,-99.11345,5,5,0.8
35.1754,-98.89866,2,1,1.0
35.21888,-98.99373,1,2,1.0
35.18935,-99.00787,4,3,1.0
35.16005,-99.02571,5,4,1.0
35.16007,-98.95506,3,5,1.0
35.22598,-98.76459,2,1,0.8
35.20432,-98.85256,1,2,1.0
35.21879,-98.81728,3,3,0.8
35.24057,-98.85256,5,4,1.0
35.24765,-98.76462,4,5,0.8
35.20417,-98.60405,1,1,1.0
35.1878,-98.61805,5,2,1.0
35.18966,-98.60077,3,3,1.0
35.2543,-98.62365,4,4,1.0
35.2332,-98.6061,2,5,1.0
35.20412,-98.42386,1,1,1.0
35.20486,-98.41213,2,2,1.0
35.23311,-98.42967,4,3,1.0
35.23305,-98.41206,5,4,1.0
35.18963,-98.42485,3,5,1.0
35.26175,-98.26243,1,1,1.0
35.2762,-98.26237,3,2,1.0
35.16069,-98.31082,2,3,1.0
35.18581,-98.2141,4,4,0.8
35.17512,-98.33706,5,5,0.8
35.21813,-98.10788,2,1,0.2
35.21826,-98.16549,1,2,0.8
35.1669,-98.09128,3,3,0.2
35.15752,-98.09127,4,4,0.2
35.20368,-97.9183,1,1,1.0
35.20366,-97.88172,2,2,0.8
35.22638,-97.95369,5,3,0.2
35.20366,-97.89559,3,4,0.2
35.20368,-97.99863,4,5,0.2
35.24722,-97.81227,1,1,1.0
35.18924,-97.81144,5,2,1.0
35.20373,-97.79378,3,3,0.8
35.20367,-97.85673,2,4,1.0
35.25902,-97.838,4,5,1.0
35.20651,-97.02242,1,1,0.2
35.18835,-96.70791,1,1,1.0
35.17392,-96.74627,4,2,0.8
35.18648,-96.7353,2,3,0.8
35.18843,-96.72269,3,4,0.8
35.22477,-96.74064,5,5,0.2
35.27558,-96.60032,2,1,0.8
35.29003,-96.63576,1,2,0.8
35.26035,-96.60029,3,3,0.2
35.29479,-96.60043,5,4,0.2
35.26578,-96.55421,4,5,0.2
35.23189,-96.4766,1,1,1.0
35.21736,-96.47659,2,2,0.8
35.20289,-96.49433,3,3,0.8
35.23188,-96.49434,4,4,1.0
35.18832,-96.40596,5,5,0.8
35.23192,-96.3527,1,1,0.8
35.28272,-96.28202,2,2,0.8
35.18848,-96.28836,4,3,0.2
35.17394,-96.30022,3,4,0.8
35.23192,-96.33673,5,5,0.2
35.08525,-103.61352,3,1,0.8
35.11429,-103.61358,1,2,0.8
35.07067,-103.61356,4,3,0.8
35.12446,-103.61355,2,4,0.8
35.05965,-103.61353,5,5,0.8
35.14454,-103.43739,1,1,0.8
35.17315,-103.52497,3,2,0.8
35.17324,-103.50027,2,3,0.8
35.159,-103.46235,4,4,0.2
35.15167,-103.45077,5,5,0.2
35.1227,-103.38392,1,1,0.8
35.07956,-103.33131,3,2,0.8
35.18642,-103.33141,2,3,0.8
35.17047,-103.33154,4,4,0.2
35.14009,-103.42649,5,5,0.2
35.12228,-103.24894,1,1,0.8
35.13835,-103.20739,2,2,0.8
35.1709,-103.10842,5,3,0.8
35.10359,-103.10205,4,4,0.8
35.14941,-103.17511,3,5,0.2
35.17448,-103.09739,1,1,0.8
35.15132,-102.65666,1,1,0.8
35.16584,-102.65657,2,2,0.8
35.13674,-102.65675,3,3,0.8
35.1223,-102.65684,4,4,0.8
35.10779,-102.65693,5,5,0.8
35.17801,-102.40063,1,1,0.8
35.15858,-102.4005,2,2,0.8
35.1952,-102.40854,3,3,0.8
35.14419,-102.40066,4,4,0.8
35.22649,-102.33359,5,5,0.8
35.20919,-102.19039,1,1,0.8
35.2091,-102.20197,2,2,0.8
35.20941,-102.21394,3,3,0.8
35.20432,-102.14965,4,4,0.8
35.20061,-102.13428,5,5,0.8
35.19008,-102.01619,1,1,0.8
35.19124,-102.0573,2,2,0.8
35.19156,-102.0703,3,3,0.8
35.19214,-102.09665,4,4,0.8
35.19046,-102.03191,5,5,0.2
35.18858,-101.6538,1,1,0.8
35.18619,-101.63607,2,2,0.8
35.1847,-101.62499,3,3,0.8
35.21088,-101.6143,4,4,0.8
35.23904,-101.61825,5,5,0.8
35.2206,-101.57283,1,1,1.0
35.22113,-101.51319,2,2,0.8
35.22082,-101.53835,3,3,0.8
35.22128,-101.50109,4,4,0.8
35.22093,-101.55231,5,5,0.8
35.2169,-101.3825,1,1,1.0
35.20763,-101.34984,2,2,0.8
35.20978,-101.36469,4,3,0.8
35.23685,-101.38254,3,4,0.8
35.20756,-101.38184,5,5,0.8
35.20743,-101.14884,1,1,1.0
35.20767,-101.19698,2,2,0.8
